COHORTE,AGE_PRET_BIN,AGE_MOIS,ER_obs,ER_pred,RA_sum,EAD_sum
2013,60-120,110.0,0.0,0.3266011519868284,0.0,17734.13
2013,60-120,110.0,0.08458752724777892,0.3408264694202442,487.0,5757.35
2013,60-120,111.0,0.039314169468309394,0.34462948183495207,541.89,13783.58
2013,60-120,112.0,0.04914409901720972,0.3408264694202442,428.74,8724.14
2013,60-120,113.0,0.23683786310732827,0.3408264694202442,367.3,1550.85
2013,60-120,115.0,0.09912977735741044,0.3374230998987695,637.23,6428.24
2013,60-120,117.0,0.6430575889498531,0.34462948183495207,13300.0,20682.44
2013,60-120,117.0,0.45709921835225054,0.3408264694202442,610.52,1335.64
2013,60-120,119.0,0.06626230682758706,0.3408264694202442,107.28,1619.02
2013,120+,123.0,0.06615288079809754,0.34462948183495207,541.89,8191.48
2013,120+,126.0,0.13827796920426402,0.33550882614845157,410.94,2971.84
2014,36-60,50.0,0.09664097518312013,0.3408264694202442,353.59,3658.8
2014,36-60,51.0,0.017120656969148926,0.3408264694202442,441.52,25788.73
2014,36-60,51.0,0.016292167467563835,0.3408264694202442,1441.5300000000002,88479.94
2014,36-60,51.0,0.6915576182755626,0.3374230998987695,900.0,1301.41
2014,36-60,51.0,0.8592726257223261,0.3266011519868284,1200.0,1396.53
2014,36-60,52.0,0.017316416088351178,0.3408264694202442,825.25,47657.09
2014,36-60,53.0,0.04140596648908336,0.3408264694202442,1228.85,29678.09
2014,36-60,54.0,0.30349750525050684,0.3408264694202442,500.0,1647.46
2014,36-60,54.0,0.44830111689466656,0.3408264694202442,1028.34,2293.86
2014,36-60,54.0,0.18965366323344907,0.3266011519868284,390.0,2056.38
2014,36-60,54.0,0.4396544901913083,0.3408264694202442,1500.0,3411.77
2014,36-60,55.0,0.15489704148501546,0.3408264694202442,1355.82,8753.04
2014,36-60,55.0,0.01720242181156984,0.3408264694202442,658.09,38255.66
2014,36-60,55.0,0.01675811371330445,0.3374230998987695,392.99,23450.73
2014,36-60,55.0,0.38374217046990977,0.3266011519868284,695.36,1812.05
2014,36-60,55.0,0.0,0.3408264694202442,0.0,5762.44
2014,36-60,56.0,0.08125686940553352,0.3491920599261233,179.65,2210.89
2014,36-60,56.0,0.046285661905455175,0.34452264992337556,85.84,1854.57
2014,36-60,56.0,0.017107174314824437,0.3374230998987695,484.19,28303.33
2014,36-60,56.0,0.10929354223891474,0.3408264694202442,1871.7,17125.44
2014,36-60,57.0,0.015426906581999885,0.39843044794736593,420.0,27225.16
2014,36-60,57.0,0.017511936691031894,0.3408264694202442,658.09,37579.51
2014,36-60,57.0,0.06546109156370182,0.33550882614845157,800.0,12221.0
2014,36-60,57.0,0.08061429225144949,0.3483177760588111,801.56,9943.15
2014,36-60,58.0,0.017432457732077536,0.3374230998987695,484.19,27775.2
2014,36-60,58.0,0.16745436219061482,0.3266011519868284,224.28,1339.3500000000001
2014,36-60,59.0,0.015711154171311432,0.39843044794736593,420.0,26732.6
2014,36-60,59.0,0.018159930243440224,0.3408264694202442,528.58,29106.940000000002
2014,36-60,59.0,0.33161704637759,0.34462948183495207,9990.0,30125.11
2014,36-60,60.0,0.02363034040276485,0.3374230998987695,1531.26,64800.590000000004
2014,36-60,60.0,0.11078764545582777,0.3266011519868284,934.65,8436.41
2014,60-120,61.0,0.0,0.39843044794736593,0.0,1770.0
2014,60-120,61.0,0.01851593670855037,0.3408264694202442,528.58,28547.3
2014,60-120,61.0,0.15661510897279282,0.3408264694202442,3000.0,19155.24
2014,60-120,61.0,0.02051758495637127,0.3374230998987695,1783.29,86915.2
2014,60-120,61.0,0.017003818712677848,0.34462948183495207,172.5,10144.78
2014,60-120,61.0,0.12234197494902417,0.33656373238391507,210.0,1716.5
2014,60-120,62.0,0.017510865770808,0.3408264694202442,912.95,52136.2
2014,60-120,62.0,0.017879598540478076,0.3374230998987695,392.99,21979.8
2014,60-120,62.0,0.0,0.3483177760588111,0.0,5543.21
2014,60-120,62.0,0.12625191780989165,0.3266011519868284,930.69,7371.69
2014,60-120,62.0,0.05066894406680599,0.3408264694202442,2000.0,39471.909999999996
2014,60-120,62.0,0.10880842126572028,0.3408264694202442,430.0,3951.9
2014,60-120,63.0,0.5596988820014832,0.3374230998987695,800.0,1429.34
2014,60-120,64.0,0.06294217053819494,0.34462948183495207,219.75,3491.3
2014,60-120,65.0,0.01711218541987095,0.3374230998987695,295.28,17255.54
2014,60-120,65.0,0.5548298716994765,0.35746257880495513,2579.97,4650.02
2014,60-120,65.0,0.23600268099045607,0.34462948183495207,1000.0,4237.24
2014,60-120,65.0,0.12604538894455894,0.3408264694202442,1000.0,7933.65
2014,60-120,66.0,0.515514406050077,0.35746257880495513,3000.0,5819.43
2014,60-120,66.0,0.029504356318210384,0.34462948183495207,100.0,3389.33
2014,60-120,66.0,0.7592863748458694,0.3408264694202442,985.25,1297.6
2014,60-120,67.0,0.4948853598064008,0.3408264694202442,5000.0,10103.35
2014,60-120,67.0,0.053909518264544785,0.3483177760588111,100.0,1854.96
2014,60-120,67.0,0.982335200344679,0.3266011519868284,1026.0,1044.45
2014,60-120,67.0,0.031049275612994823,0.3408264694202442,1895.6299999999999,61052.31
2014,60-120,68.0,0.0,0.34462948183495207,0.0,1577.4
2014,60-120,69.0,0.024548723954917823,0.3408264694202442,694.4100000000001,28287.010000000002
2014,60-120,69.0,0.2487930427513525,0.3408264694202442,2000.0,8038.81
2014,60-120,69.0,0.44021935240768056,0.3408264694202442,9650.0,21920.89
2014,60-120,70.0,0.022659333566130178,0.3408264694202442,1199.17,52921.68
2014,60-120,71.0,0.017765993941796066,0.39843044794736593,420.0,23640.67
2014,60-120,71.0,0.020601504052445013,0.3408264694202442,528.58,25657.35
2014,60-120,71.0,0.05912299927561072,0.33550882614845157,1050.42,17766.69
2014,60-120,71.0,0.5432420686657975,0.3374230998987695,1300.0,2393.04
2014,60-120,71.0,0.0,0.34462948183495207,0.0,7659.34
2014,60-120,71.0,0.0,0.3408264694202442,0.0,14612.61
2014,60-120,72.0,0.0,0.3408264694202442,0.0,5159.5
2014,60-120,72.0,0.8828169095619203,0.34462948183495207,6100.0,6909.7
2014,60-120,72.0,0.0,0.3408264694202442,0.0,3755.65
2014,60-120,72.0,0.016922953097603693,0.3408264694202442,1034.47,61128.22
2014,60-120,72.0,0.862663906142167,0.3408264694202442,3000.0,3477.6
2014,60-120,73.0,0.02109469064938268,0.3408264694202442,528.58,25057.49
2014,60-120,74.0,0.039192949907235625,0.3408264694202442,1014.0,25872.0
2014,60-120,74.0,0.041787340007290244,0.34462948183495207,523.9,12537.29
2014,60-120,75.0,0.019459268524461816,0.3374230998987695,295.28,15174.26
2014,60-120,75.0,0.2508956976405769,0.34462948183495207,1000.0,3985.72
2014,60-120,75.0,0.02196554358955888,0.3408264694202442,683.03,31095.52
2014,60-120,76.0,0.02016019955494971,0.3408264694202442,912.95,45284.77
2014,60-120,76.0,0.02092910926783641,0.3408264694202442,1228.41,58693.85
2014,60-120,77.0,0.5340286932173545,0.3408264694202442,9990.0,18706.86
2014,60-120,78.0,0.2491875266831049,0.34462948183495207,572.0,2295.46
2014,60-120,78.0,0.018255748124429986,0.3408264694202442,1034.47,56665.44
2014,60-120,79.0,0.01940848483504174,0.39843044794736593,420.0,21640.02
2014,60-120,79.0,0.02277128297297542,0.3408264694202442,528.58,23212.57
2014,60-120,79.0,0.4016289401311614,0.3374230998987695,417.67,1039.94
2014,60-120,79.0,0.6043208943949238,0.34462948183495207,1000.0,1654.75
2014,60-120,81.0,0.02340698294892205,0.3408264694202442,528.58,22582.15
2014,60-120,81.0,0.059784477137742584,0.3408264694202442,100.86,1687.06
2014,60-120,81.0,0.18841386613006397,0.34462948183495207,2000.0,10614.93
2014,60-120,83.0,0.7068158998236665,0.3408264694202442,49600.0,70173.86
2014,60-120,85.0,0.0,0.3408264694202442,0.0,16732.37
